Gene name,number of CPs,RSS,nCP-penalized RSS,R squared
TMEM88,2,0.119215274503109,0.119215274503109,0.92065393858399
UBALD2,3,0.074415717228775,0.2976628689151,0.870635487172523
BAIAP2,3,0.142813277087204,0.571253108348817,0.918286866634337
FAM83G,,,,
PSMD12,3,0.0464779749011292,0.185911899604517,0.920276792554468
NPTX1,4,0.0573730591697108,0.516357532527397,0.869859307656571
PMAIP1,3,0.0263253486330271,0.105301394532108,0.931066138451671
SERPINB8,2,0.274773534833122,0.274773534833122,0.933395856842918
MIDN,3,0.012193940618294,0.0487757624731762,0.974775401177001
GADD45B,3,0.400615775112519,1.60246310045008,0.942667737609096
JUNB,4,0.0219364868574362,0.197428381716926,0.994200607544002
IER2,4,0.0723647055961563,0.651282350365407,0.871023744284424
ZFP36,3,0.323211745026044,1.29284698010418,0.957479740738294
FOSB,4,0.135425101456089,1.2188259131048,0.962483743937076
PPP1R15A,2,0.157952366590224,0.157952366590224,0.936763094543561
DNAJB1,4,0.0316372710526605,0.284735439473945,0.892192235999495
SERTAD1,5,0.0624563538618788,0.999301661790061,0.934335707938109
TGFB1,2,0.175149589849487,0.175149589849487,0.886918510154036
ERCC1,2,0.0625371705278653,0.0625371705278653,0.971126000552996
FOSL2,3,0.0490277335797407,0.196110934318963,0.926583714290058
MXD1,3,0.115239871858911,0.460959487435645,0.859668333279792
NAGK,,,,
HK2,5,0.0657188671749155,1.05150187479865,0.899396465477509
NPAS2,3,0.0694130301707609,0.277652120683044,0.859764898299731
SPOPL,3,0.0469803238779422,0.187921295511769,0.935988628844975
INPP1,3,0.37803885829562,1.51215543318248,0.850061529953611
COQ10B,3,0.0700262046445575,0.28010481857823,0.925632061418758
BZW1,4,0.0399689824054486,0.359720841649038,0.902143302397318
GPR75,5,0.0750224279810599,1.20035884769696,0.8741739708768
C2orf42,5,0.0648900255298645,1.03824040847783,0.901316490658466
EGR4,3,0.102058926032956,0.408235704131823,0.951658482478769
RND3,3,0.0766257643562649,0.30650305742506,0.913051287154838
SERPINE2,3,0.216518931882137,0.866075727528549,0.862968069355
NPPC,4,0.0233267983146026,0.209941184831423,0.932697566812048
TRIB3,3,0.152949534530682,0.611798138122729,0.851506313534289
PRNP,4,0.0237904839750901,0.214114355775811,0.920883389067058
ROMO1,,,,
SRXN1,2,0.0611213478321217,0.0611213478321217,0.891383341374074
RNF24,4,0.101286585529795,0.911579269768152,0.870908502069083
SDC4,3,0.13973795535721,0.558951821428841,0.943413307161067
TIMP3,3,0.0451969812540774,0.18078792501631,0.935767671870351
BHLHE40,2,0.0951422371995333,0.0951422371995333,0.889920228730476
ABHD5,3,0.033918015471154,0.135672061884616,0.922136597963828
PRKCD,4,0.143125949743224,1.28813354768902,0.904087361621434
SLC35G2,5,0.0780189777550148,1.24830364408024,0.928736101855236
CSRNP1,3,0.0500946595602327,0.200378638240931,0.977634987765426
GBE1,2,0.0656315509705256,0.0656315509705256,0.954384341911511
CLDND1,4,0.0115666081480854,0.104099473332768,0.965505715862231
ETV5,3,0.144685971270469,0.578743885081877,0.910163164804202
CPEB2,4,0.0931559399219016,0.838403459297114,0.904707200210022
NIPAL1,3,0.224780375842806,0.899121503371223,0.929052440357895
UTP3,3,0.0664656393151863,0.265862557260745,0.895293339401401
SGMS2,3,0.22686410567034,0.907456422681361,0.923312137666667
OTUD4,4,0.0348414516649455,0.313573064984509,0.944600825522181
ZSWIM6,5,0.081777961378532,1.30844738205651,0.92896021262364
CDK7,4,0.104856906300959,0.943712156708634,0.8565078218822
F2RL1,3,0.0273329833048257,0.109331933219303,0.965105252894225
TCF7,2,0.0703569753517991,0.0703569753517991,0.929992694949891
EGR1,4,0.880553338353715,7.92498004518343,0.933563466940959
HMGCS1,2,0.298482527128513,0.298482527128513,0.886326528401167
ENC1,3,0.0579501870344485,0.231800748137794,0.971647304016992
HOMER1,3,0.406600358867079,1.62640143546831,0.876567085217376
HBEGF,3,0.0608010298647914,0.243204119459166,0.960575474423137
SPRY4,3,0.202186280980441,0.808745123921764,0.935536303689013
DUSP1,,,,
