Gene name,CP number,CP_t,CP_exp,state
GLT8D1,2,3.54613820755798,-3.9256761696814,intermediate
GLT8D1,3,7,-1.75069970520004,final
ATP2C1,1,0,0,initial
ATP2C1,2,2.60334810246918,1.91631568251491,intermediate
ATP2C1,3,4.71647895849846,-3.08043488123323,intermediate
ATP2C1,4,7,-0.413184802169357,final
SLC38A5,N/A,N/A,N/A,N/A
RALBP1,1,0,0,initial
RALBP1,2,2.48441275282404,0.955912435891676,intermediate
RALBP1,3,4.73956222075924,-3.31420944989419,intermediate
RALBP1,4,7,-1.43909062408475,final
SLC11A1,1,0,0,initial
SLC11A1,2,2.36927202906521,1.18075002542236,intermediate
SLC11A1,3,4.95876456587198,-4.67579735716337,intermediate
SLC11A1,4,7,-0.125530882083859,final
AGPS,1,0,0,initial
AGPS,2,3.2320423163983,-4.38382567186023,intermediate
AGPS,3,7,-1.49601016602807,final
ATP1A2,N/A,N/A,N/A,N/A
CYP24A1,1,0,0,initial
CYP24A1,2,1.89726112110366,7.06577374326719,intermediate
CYP24A1,3,4.52805100871899,-4.76459424987425,intermediate
CYP24A1,4,7,-0.192645077942396,final
CYP3A43,N/A,N/A,N/A,N/A
SLC7A9,N/A,N/A,N/A,N/A
CPS1,1,0,0,initial
CPS1,2,2.41314717636233,0.0354939173023945,intermediate
CPS1,3,4.67426612654986,-6.31387538929363,intermediate
CPS1,4,7,-2.21313445347535,final
ZDHHC6,1,0,0,initial
ZDHHC6,2,3.43923422502057,-1.64910417605495,intermediate
ZDHHC6,3,7,-0.525977936102008,final
NDUFS1,N/A,N/A,N/A,N/A
GLRX2,N/A,N/A,N/A,N/A
DERA,1,0,0,initial
DERA,2,2.37101798192929,0.241207001332939,intermediate
DERA,3,4.85187273002626,-5.17385538670067,intermediate
DERA,4,7,-1.0738636102228,final
ABCC2,1,0,0,initial
ABCC2,2,2.3779793382502,1.38686899627342,intermediate
ABCC2,3,4.77592522839927,-4.31366481905744,intermediate
ABCC2,4,7,0.697730430883106,final
GCLM,1,0,0,initial
GCLM,2,3.84519976530917,-4.86033605061393,intermediate
GCLM,3,7,-0.0347654181606766,final
UBR2,1,0,0,initial
UBR2,2,2.46723166873665,1.35103913477129,intermediate
UBR2,3,4.88533573876112,-3.95648975121889,intermediate
UBR2,4,7,-0.612592491345046,final
HSD17B6,1,0,0,initial
HSD17B6,2,2.34548355822594,0.503954254226304,intermediate
HSD17B6,3,4.85255111854831,-6.87278339711628,intermediate
HSD17B6,4,7,-2.08746284125034,final
KPNA6,1,0,0,initial
KPNA6,2,2.16649637210948,-0.118971408624821,intermediate
KPNA6,3,5.29788122391807,-1.99779094142753,intermediate
KPNA6,4,7,-0.127269069090372,final
FAS,1,0,0,initial
FAS,2,3.32755175088081,-3.36937240014748,intermediate
FAS,3,7,-1.81628804682761,final
AGPAT4,N/A,N/A,N/A,N/A
PRKCH,1,0,0,initial
PRKCH,2,7,1.46857795383821,final
INSRR,N/A,N/A,N/A,N/A
B4GALT7,N/A,N/A,N/A,N/A
VRK2,N/A,N/A,N/A,N/A
TFB1M,1,0,0,initial
TFB1M,2,2.39667880953481,0.249278778909078,intermediate
TFB1M,3,4.85204292053366,-5.377738683897,intermediate
TFB1M,4,7,-1,final
NUP160,N/A,N/A,N/A,N/A
MUSK,N/A,N/A,N/A,N/A
PNPLA6,1,0,0,initial
PNPLA6,2,2.59412652409097,1.10978818133065,intermediate
PNPLA6,3,4.61755279703042,-3.61348170525722,intermediate
PNPLA6,4,7,-0.972727069849896,final
ALG1,N/A,N/A,N/A,N/A
CHPF2,1,0,0,initial
CHPF2,2,2.55526385838075,1.15029053118304,intermediate
CHPF2,3,4.70676119506012,-3.51818083293453,intermediate
CHPF2,4,7,-0.542452205405195,final
FUT8,1,0,0,initial
FUT8,2,3.40534582507231,-5.43427514319734,intermediate
FUT8,3,7,-1.73230421679634,final
UBA6,1,0,0,initial
UBA6,2,2.16823281688086,-1.1723991307139,intermediate
UBA6,3,4.83741586223466,-1.50935035807779,intermediate
UBA6,4,7,-0.316516736104564,final
SLC4A7,N/A,N/A,N/A,N/A
MAP2K3,1,0,0,initial
MAP2K3,2,3.53307556066712,-0.0989286759002958,intermediate
MAP2K3,3,7,3.80266322673288,final
RNF19A,1,0,0,initial
RNF19A,2,2.49725362182877,2.99120741621505,intermediate
RNF19A,3,4.35148066988513,-0.842124252993834,intermediate
RNF19A,4,7,-0.391566783240043,final
DAPK2,1,0,0,initial
DAPK2,2,2.36353654216075,-3.03627422307107,intermediate
DAPK2,3,4.49979020109835,-1.58335464770444,intermediate
DAPK2,4,7,-0.625604485218502,final
ADSS2,1,0,0,initial
ADSS2,2,3.52675047783699,-2.39478241441363,intermediate
ADSS2,3,7,-1.40179017539904,final
OTC,1,0,0,initial
OTC,2,1.4390731075663,-3.16975458506908,intermediate
OTC,3,4.71863499605881,-0.903139523533864,intermediate
OTC,4,7,-1.58496250072116,final
CYP46A1,1,0,0,initial
CYP46A1,2,3.54175116540741,-3.97203502651867,intermediate
CYP46A1,3,7,0.678071905112638,final
SLC18A1,N/A,N/A,N/A,N/A
USP2,1,0,0,initial
USP2,2,7,6.81209284106427,final
FLT4,N/A,N/A,N/A,N/A
MRI1,1,0,0,initial
MRI1,2,2.427136197697,-0.172047084108543,intermediate
MRI1,3,4.73972712107602,-2.64018549454487,intermediate
MRI1,4,7,-1.37851162325373,final
METTL1,N/A,N/A,N/A,N/A
AGA,N/A,N/A,N/A,N/A
PI4K2B,1,0,0,initial
PI4K2B,2,7,-2.67359977051135,final
MAT2B,1,0,0,initial
MAT2B,2,3.53062596609249,-2.37816642107842,intermediate
MAT2B,3,7,-0.81713594285019,final
TRIO,1,0,0,initial
TRIO,2,3.69029386282814,-1.83382336419349,intermediate
TRIO,3,7,0.683056937106937,final
MTREX,N/A,N/A,N/A,N/A
PNKP,N/A,N/A,N/A,N/A
INPP4A,1,0,0,initial
INPP4A,2,3.59867045142258,-2.55613105176027,intermediate
INPP4A,3,7,-0.638349713468181,final
PARP3,1,0,0,initial
PARP3,2,2.28762229251622,0.764641897921099,intermediate
PARP3,3,4.76151329512929,-5.92702986785143,intermediate
PARP3,4,7,-1.86059694333458,final
TRIT1,1,0,0,initial
TRIT1,2,2.48996264660385,1.36699997303904,intermediate
TRIT1,3,4.6676920986252,-4.49476995525943,intermediate
TRIT1,4,7,-1.16537493446451,final
PHKA2,1,0,0,initial
PHKA2,2,3.39045667361849,-4.02851906102712,intermediate
PHKA2,3,7,-1.29406130145442,final
EPHA3,N/A,N/A,N/A,N/A
CTPS2,1,0,0,initial
CTPS2,2,3.54937877105751,-4.3147105991371,intermediate
CTPS2,3,7,-1.50542373573595,final
POLR2B,1,0,0,initial
POLR2B,2,2.44957419787698,0.00782681824797211,intermediate
POLR2B,3,4.69434690880641,-2.3779992326723,intermediate
POLR2B,4,7,-0.545021147369334,final
TPR,1,0,0,initial
TPR,2,2.30371319690133,-0.121834816320494,intermediate
TPR,3,4.99639894293047,-2.49051729385032,intermediate
TPR,4,7,-0.564731084655462,final
CP,1,0,0,initial
CP,2,2.35819885965173,-1.44721072339966,intermediate
CP,3,4.75085600493738,-2.78644952923705,intermediate
CP,4,7,-1.13750352374993,final
ROS1,N/A,N/A,N/A,N/A
USP28,1,0,0,initial
USP28,2,3.56483910517143,-4.01441693897594,intermediate
USP28,3,7,-1.81705918537945,final
RRM2B,N/A,N/A,N/A,N/A
H6PD,1,0,0,initial
H6PD,2,2.55533216355567,0.81836064005681,intermediate
H6PD,3,4.61716260266557,-4.12476936882414,intermediate
H6PD,4,7,-1.63770396279313,final
NEDD4L,1,0,0,initial
NEDD4L,2,3.61319009669716,-0.773907976674992,intermediate
NEDD4L,3,7,4.17755465645989,final
SLC4A8,1,0,0,initial
SLC4A8,2,3.5571584475462,-1.06294251611168,intermediate
SLC4A8,3,7,1.09953567355091,final
MAPK9,1,0,0,initial
MAPK9,2,2.42360979167917,0.381881396794434,intermediate
MAPK9,3,4.75412915686065,-3.69940399615152,intermediate
MAPK9,4,7,-1.03360839264282,final
POLQ,1,0,0,initial
POLQ,2,3.43956811326472,-6.63794206537111,intermediate
POLQ,3,7,-3.9031866268451,final
MSMO1,1,0,0,initial
MSMO1,2,3.55174842222515,2.4005893730737,intermediate
MSMO1,3,7,-1.88208811493817,final
AKR7A2,1,0,0,initial
AKR7A2,2,3.559388508606,-2.44704709240582,intermediate
AKR7A2,3,7,-2.73324250812349,final
PHPT1,1,0,0,initial
PHPT1,2,3.48546734476024,-2.68649019081574,intermediate
PHPT1,3,7,-1.6578630477686,final
ENTPD2,N/A,N/A,N/A,N/A
PTPRN,1,0,0,initial
PTPRN,2,2.17857526630058,3.03612492439492,intermediate
PTPRN,3,4.75040710666991,-3.92005832641484,intermediate
PTPRN,4,7,0,final
HHAT,1,0,0,initial
HHAT,2,2.62511336330108,1.43878389214721,intermediate
HHAT,3,4.59229781629062,-6.48369536645919,intermediate
HHAT,4,7,-1.21021770739035,final
GALC,1,0,0,initial
GALC,2,2.41798584640157,0.85143976512969,intermediate
GALC,3,4.77950455246934,-5.70350815885054,intermediate
GALC,4,7,-1.62515159083686,final
EIF2AK2,1,0,0,initial
EIF2AK2,2,2.34470181443838,0.328769609989598,intermediate
EIF2AK2,3,4.83026784152363,-6.67010223702485,intermediate
EIF2AK2,4,7,-1.46574093902216,final
USP36,1,0,0,initial
USP36,2,3.64666331636021,-1.09852556064712,intermediate
USP36,3,7,3.2929591043256,final
KMT2C,1,0,0,initial
KMT2C,2,2.50970049913238,0.802150694069855,intermediate
KMT2C,3,4.75972905632473,-1.21171541475919,intermediate
KMT2C,4,7,1.22352129075311,final
GYG2,1,0,0,initial
GYG2,2,2.57328631478647,0.109277214540139,intermediate
GYG2,3,4.67343100131086,-4.77782698279949,intermediate
GYG2,4,7,0.652076696579693,final
SOAT1,1,0,0,initial
SOAT1,2,3.44563186184115,-4.39138349865046,intermediate
SOAT1,3,7,0.0643090325386519,final
USP13,1,0,0,initial
USP13,2,3.55058261276177,-5.04578230060766,intermediate
USP13,3,7,-1,final
CDK14,1,0,0,initial
CDK14,2,2.54734484511565,2.52971672232562,intermediate
CDK14,3,5.03476888630586,-2.90539565389841,intermediate
CDK14,4,7,1.13543662505702,final
CAMK2B,1,0,0,initial
CAMK2B,2,2.1434516659324,-0.663109476106786,intermediate
CAMK2B,3,5.39525564945784,-5.78527252752433,intermediate
CAMK2B,4,7,0.415037499278844,final
POLR3E,1,0,0,initial
POLR3E,2,2.25575012453854,-0.516767555211577,intermediate
POLR3E,3,4.86359314786771,-1.62584057421407,intermediate
POLR3E,4,7,-0.420721137782427,final
ATP2B4,1,0,0,initial
ATP2B4,2,2.42312063850062,0.897249962108824,intermediate
ATP2B4,3,4.71921587080186,-2.40917751020591,intermediate
ATP2B4,4,7,0.448391582153629,final
RIOK2,1,0,0,initial
RIOK2,2,2.30704183900519,0.0686056394667795,intermediate
RIOK2,3,4.91367462978747,-2.64697756535882,intermediate
RIOK2,4,7,-0.897430266359452,final
NDC1,1,0,0,initial
NDC1,2,3.38382186355082,-4.81686599276462,intermediate
NDC1,3,7,-2.53750756331315,final
DGKG,1,0,0,initial
DGKG,2,3.23093163273553,-4.87045471377226,intermediate
DGKG,3,7,-2,final
TBXAS1,N/A,N/A,N/A,N/A
PARP12,1,0,0,initial
PARP12,2,2.49327370411678,0.443620909132722,intermediate
PARP12,3,4.51769621228448,-3.41184638504873,intermediate
PARP12,4,7,-1.41723505498309,final
ALDH18A1,1,0,0,initial
ALDH18A1,2,3.50362823586634,-2.77766680117162,intermediate
ALDH18A1,3,7,-1.9465046534212,final
TARBP1,1,0,0,initial
TARBP1,2,2.40706143026825,0.74410761202428,intermediate
TARBP1,3,4.91904054998906,-6.15658985840495,intermediate
TARBP1,4,7,-1.09034650209625,final
SLC2A3,N/A,N/A,N/A,N/A
STYK1,1,0,0,initial
STYK1,2,3.43485957568403,-2.01562051156999,intermediate
STYK1,3,7,1.03476541816068,final
WNK1,1,0,0,initial
WNK1,2,2.44170321404135,-0.569448613935094,intermediate
WNK1,3,5.1098528312248,-1.95883585548379,intermediate
WNK1,4,7,0.357667117857308,final
PIGV,1,0,0,initial
PIGV,2,2.42639106461251,1.45108990577589,intermediate
PIGV,3,4.77402250044343,-4.79572359188861,intermediate
PIGV,4,7,-0.88952346363843,final
PTPRU,N/A,N/A,N/A,N/A
MPC1,1,0,0,initial
MPC1,2,2.64421314302388,2.78162384713978,intermediate
MPC1,3,4.54203546326147,-6.88724632728263,intermediate
MPC1,4,7,-2.10433665981474,final
BCAT1,1,0,0,initial
BCAT1,2,2.16878212236688,-6.51629831129697,intermediate
BCAT1,3,4.69998553054342,2.5332338247944,intermediate
BCAT1,4,7,2.68862120232751,final
GUCY1B1,N/A,N/A,N/A,N/A
DGAT2,1,0,0,initial
DGAT2,2,3.5289414568964,6.69811777485276,intermediate
DGAT2,3,7,-1.15141170379099,final
CS,N/A,N/A,N/A,N/A
LTK,N/A,N/A,N/A,N/A
POLD1,N/A,N/A,N/A,N/A
SPHK2,1,0,0,initial
SPHK2,2,2.43080960565835,-0.32502821722338,intermediate
SPHK2,3,4.57382881922769,-3.00381290560591,intermediate
SPHK2,4,7,-0.943416471633632,final
HAGH,1,0,0,initial
HAGH,2,2.53044201808299,1.96457970380866,intermediate
HAGH,3,4.60364475371434,-4.74339021044841,intermediate
HAGH,4,7,-1.14799003093843,final
ST3GAL6,1,0,0,initial
ST3GAL6,2,3.39992094424197,2.51244673591274,intermediate
ST3GAL6,3,7,1.70194540104787,final
ATP2C2,1,0,0,initial
ATP2C2,2,3.35118305146834,3.8093850888728,intermediate
ATP2C2,3,7,1.27612440527424,final
HIPK2,1,0,0,initial
HIPK2,2,3.68920238980039,-4.32701145663861,intermediate
HIPK2,3,7,1.40488954390276,final
CTSA,1,0,0,initial
CTSA,2,7,2.25618405554316,final
SLC12A2,1,0,0,initial
SLC12A2,2,2.61002692508753,1.31838733256159,intermediate
SLC12A2,3,4.72423962939166,-2.87814784883535,intermediate
SLC12A2,4,7,-0.455301369492571,final
EYA2,N/A,N/A,N/A,N/A
FAR2,N/A,N/A,N/A,N/A
OAT,1,0,0,initial
OAT,2,2.53194253848822,-1.10440630210274,intermediate
OAT,3,4.53760225770431,-2.78668494655554,intermediate
OAT,4,7,-0.387438503550309,final
DGKA,1,0,0,initial
DGKA,2,2.40526654991669,1.30395785931811,intermediate
DGKA,3,4.87184265808069,-4.90506952013452,intermediate
DGKA,4,7,-1.21520588074318,final
ERBB3,1,0,0,initial
ERBB3,2,2.35958358920586,4.55786582233457,intermediate
ERBB3,3,5.06710153846841,-2.99686260535756,intermediate
ERBB3,4,7,1.64257322389125,final
KARS1,N/A,N/A,N/A,N/A
PDIA5,1,0,0,initial
PDIA5,2,1.87491161318555,-4.21893440918733,intermediate
PDIA5,3,4.68291193416056,-1.13840892457023,intermediate
PDIA5,4,7,-2.59610305832636,final
NDUFB4,N/A,N/A,N/A,N/A
MYLK,N/A,N/A,N/A,N/A
CYB5R4,1,0,0,initial
CYB5R4,2,2.34375746258834,-0.375667440953477,intermediate
CYB5R4,3,4.89522480223392,-2.09020163631036,intermediate
CYB5R4,4,7,-0.360839191305592,final
GSTO2,1,0,0,initial
GSTO2,2,2.36244425556908,-0.15644786044364,intermediate
GSTO2,3,4.6512930567548,-3.09167068179621,intermediate
GSTO2,4,7,-1.54692313970198,final
PRKCQ,1,0,0,initial
PRKCQ,2,1.91862078245513,-6.24525507579172,intermediate
PRKCQ,3,4.6233522535109,-0.918229919058192,intermediate
PRKCQ,4,7,-0.874469117916141,final
MTHFD2,N/A,N/A,N/A,N/A
SLC9A7,1,0,0,initial
SLC9A7,2,3.62225281903088,-3.12703344173633,intermediate
SLC9A7,3,7,0.0664954117869069,final
PDE4A,N/A,N/A,N/A,N/A
TIE1,N/A,N/A,N/A,N/A
SLC9A3,N/A,N/A,N/A,N/A
ELOVL1,1,0,0,initial
ELOVL1,2,3.70679093902685,3.76695897381515,intermediate
ELOVL1,3,7,-1.06113365075146,final
POLR1H,1,0,0,initial
POLR1H,2,2.07585555042472,-2.09016864838732,intermediate
POLR1H,3,4.49546539741279,0.388074839656393,intermediate
POLR1H,4,7,0.0365258760251139,final
FGFR2,1,0,0,initial
FGFR2,2,3.49245894836921,-2.69530619671311,intermediate
FGFR2,3,7,-2.30424892765254,final
TRMT11,N/A,N/A,N/A,N/A
FECH,1,0,0,initial
FECH,2,2.32106372281822,-0.339292815825657,intermediate
FECH,3,4.9765803443188,-5.16822674723356,intermediate
FECH,4,7,-0.990761793144662,final
PFKP,1,0,0,initial
PFKP,2,1.92285462916283,-3.93480142252513,intermediate
PFKP,3,4.68371852144707,-0.36479456360519,intermediate
PFKP,4,7,-1.16124787792236,final
IDI1,N/A,N/A,N/A,N/A
PHKA1,1,0,0,initial
PHKA1,2,3.67555763150426,-4.91812084764002,intermediate
PHKA1,3,7,-0.643119306278213,final
PKM,1,0,0,initial
PKM,2,3.43907224760262,-3.79613370230056,intermediate
PKM,3,7,-2.43139073037962,final
METTL22,1,0,0,initial
