Gene name,number of CPs,RSS,nCP-penalized RSS,R squared
UPRT,4,0.280740826186079,2.52666743567471,0.958538068082953
AAAS,4,1.21844991312118,10.9660492180906,0.867582001332932
FMO2,4,1.43830728256738,12.9447655431064,0.774542180675076
MAP3K1,4,0.166238471179484,1.49614624061536,0.95060626849395
DHPS,4,0.354879438214558,3.19391494393102,0.851743870440557
PTGS1,4,6.87242568281532,61.8518311453379,0.847051740459984
NUP188,,,,
CRAT,3,1.82816531804548,7.31266127218193,0.821334803521344
NANS,4,0.160399745009667,1.443597705087,0.935663972468295
PDE6C,,,,
CYP26A1,3,0.274104447001393,1.09641778800557,0.817263701999072
MYO3A,4,0.999011021706245,8.9910991953562,0.783441840282588
TPSD1,3,0.274104447001392,1.09641778800557,0.817263701999072
CRISP3,3,1.23120292456902,4.92481169827609,0.802937937299675
FKBP5,3,0.308292991302962,1.23317196521185,0.990105054601798
SRPK1,,,,
SIRT1,3,2.45642989300533,9.82571957202132,0.898888812922742
JAK2,4,1.2328809289274,11.0959283603466,0.87223304639116
ABL1,3,0.177569416856101,0.710277667424402,0.932973622812117
ACOT7,4,0.523161230208942,4.70845107188048,0.780373226524705
SH3GLB1,3,0.412278912194059,1.64911564877624,0.782102739913998
CDC7,3,1.76813978316645,7.07255913266581,0.882674914510479
SCD,4,0.461214444645208,4.15093000180687,0.972478791396365
MAST3,,,,
HSD3B7,4,0.780669395144479,7.02602455630031,0.805385330290461
ATP5F1D,,,,
MARCHF2,4,1.40989826176637,12.6890843558974,0.865808241438783
NDUFB7,4,1.28574458552333,11.57170126971,0.791933659359507
TECR,,,,
CDC34,3,0.48749536526189,1.94998146104756,0.753575295313676
MTAP,4,0.382782004004268,3.44503803603841,0.807690638416813
POLR2E,3,0.236017021776273,0.944068087105092,0.907400511462046
POLRMT,,,,
MKNK2,3,0.20450663761627,0.818026550465082,0.780079212271386
ZDHHC8,3,0.609545072341727,2.43818028936691,0.825371580681025
GSTT2,,,,
GGT5,,,,
PPIL2,,,,
UPB1,4,0.39171417934694,3.52542761412246,0.952701112850325
MAPK1,4,0.157995436625162,1.42195892962646,0.814449845447573
GGT1,4,0.976182676256465,8.78564408630819,0.92739489725916
PRODH,4,2.36273099471065,21.2645789523958,0.949688300302414
PPM1F,,,,
SLC25A1,2,0.876938933220494,0.876938933220494,0.880698607548605
GRK3,3,0.676393632697711,2.70557453079084,0.750324803998516
PLA2G3,3,2.47353175409354,9.89412701637416,0.806606527705909
SH3BP1,,,,
ENSG00000100101,4,0.727739573214418,6.54965615892977,0.796516157096546
GCAT,3,1.14863357377474,4.59453429509898,0.755643860833978
POLR2F,,,,
SLC16A8,,,,
SLC5A1,3,1.82920216092885,7.31680864371541,0.761373523836001
CYP2D6,4,1.26610614625004,11.3949553162503,0.805856296237896
CYB5R3,3,0.184275183214747,0.737100732858988,0.94311001198207
MIOX,4,0.225255208876141,2.02729687988527,0.849829860749239
CHKB,,,,
HMOX1,3,2.00992529465034,8.03970117860134,0.932256280134806
MCAT,4,0.430530727443874,3.87477654699486,0.857008994581102
ARSA,4,0.294539886832002,2.65085898148802,0.853169719442481
MTMR3,3,0.593731945324975,2.3749277812999,0.824124712623667
PNPLA3,4,0.420204703736981,3.78184233363283,0.876524891042224
TXN2,3,1.05186975049545,4.2074790019818,0.807920562801497
TNRC6B,4,0.535897700208126,4.82307930187314,0.886883216957439
SLC25A17,3,0.167615105766745,0.67046042306698,0.807122561106008
EP300,3,0.263933364619083,1.05573345847633,0.957688088996009
ACO2,4,0.42275103323915,3.80475929915235,0.86854743038566
POLR3H,4,2.14202668592481,19.2782401733233,0.823470847036009
TRMU,,,,
PMM1,4,0.665729827330941,5.99156844597847,0.791263816854402
CERK,,,,
FKBP3,,,,
POLE2,3,1.35926008047175,5.43704032188701,0.891290237734677
CDKL1,3,0.245206643546683,0.980826574186734,0.833575180771258
PYGL,2,2.22169476431291,2.22169476431291,0.811004926846462
GNPNAT1,,,,
CDKN3,3,1.76050419137842,7.04201676551367,0.946303901521498
PIGH,4,1.03659343222943,9.32934089006489,0.773369913861595
GSTZ1,4,0.532796758570902,4.79517082713812,0.914189346175187
SPTLC2,,,,
LGMN,4,0.267575449534329,2.40817904580896,0.830951634965823
ITPK1,,,,
PPM1A,2,0.426157918477521,0.426157918477521,0.808005847015625
GALNT16,,,,
HIF1A,,,,
SLC10A1,4,0.989367155733672,8.90430440160305,0.860649055259419
SLC8A3,,,,
MTHFD1,4,2.04819818799596,18.4337836919636,0.781741005348541
VRK1,3,1.00735474706691,4.02941898826764,0.85519788914983
RPS6KA5,2,0.486654936854885,0.486654936854885,0.765400530109638
CCNB1IP1,,,,
CINP,3,1.12688952183965,4.50755808735859,0.75444907278461
DHRS2,3,0.650309011599027,2.60123604639611,0.928414596242147
PCK2,3,0.746931518188819,2.98772607275528,0.867844647765278
GMPR2,4,0.356276804034957,3.20649123631462,0.909945717287107
PLTP,2,2.46504195805869,2.46504195805869,0.785957602085553
GSS,3,1.23185264491297,4.9274105796519,0.826060361935243
PYGB,,,,
ABHD12,4,0.769368216947031,6.92431395252327,0.751923152922752
SGK2,,,,
CTSZ,3,0.539659283636748,2.15863713454699,0.888899930070103
SLCO4A1,4,0.840549252626351,7.56494327363716,0.964261232913883
EEF1A2,,,,
PTK6,,,,
CDC25B,3,0.58472337381751,2.33889349527004,0.930303438492382
NDUFAF5,,,,
TRIB3,,,,
SLC52A3,,,,
CDS2,3,1.45048801760497,5.80195207041986,0.759876264149057
MYLK2,,,,
HAO1,,,,
