Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007254~JNK cascade	12	1.4851485148514851	4.6324641300014304E-4	MAPK10, MAPK9, MAP4K2, LRRK2, IRAK4, NLK, MAP3K6, MAP3K7, MAPK15, MAP3K11, MAP3K5, MAP3K12	799	81	19416	3.600055625086914	0.8010671205836661	0.02211525683980135	0.021493364394951843
GOTERM_BP_DIRECT	GO:0006730~one-carbon metabolic process	8	0.9900990099009901	4.7371237843047055E-4	AHCYL2, CA1, DHFR2, CA3, CA2, SFXN3, CA6, CA13	799	35	19416	5.554371535848382	0.8081955250207022	0.022309292416624188	0.021681943591135188
GOTERM_BP_DIRECT	GO:0051092~positive regulation of NF-kappaB transcription factor activity	15	1.8564356435643563	4.904360608510781E-4	RNF31, ALK, RIPK3, TFRC, RIPK4, EIF2AK2, IRAK3, PRKCZ, IKBKB, SLCO3A1, BTK, CAPN3, PRKD2, PRKD1, TRIM32	799	122	19416	2.9877510822954925	0.8190598433034821	0.022788928960880098	0.022148092508034685
GOTERM_BP_DIRECT	GO:0046835~carbohydrate phosphorylation	7	0.8663366336633664	5.374876368227626E-4	HK3, TKFC, NAGK, FGGY, FCSK, GNE, GALK1	799	26	19416	6.542408780206027	0.8464375555989668	0.024646637030622736	0.023953560867351276
GOTERM_BP_DIRECT	GO:0008654~phospholipid biosynthetic process	8	0.9900990099009901	5.674368078093419E-4	GNPAT, MBOAT1, FITM2, PLAAT3, GPAT2, CDIPT, FADS1, AGPAT3	799	36	19416	5.4000834376303715	0.8616652139065456	0.025682042535266972	0.024959850234418716
GOTERM_BP_DIRECT	GO:0018108~peptidyl-tyrosine phosphorylation	9	1.1138613861386137	5.956918320260935E-4	EPHA4, ZAP70, SYK, INSR, ERBB2, BTK, JAK2, EPHA1, JAK3	799	47	19416	4.653263387745319	0.8746448793302066	0.026615205571935075	0.025866772244517673
GOTERM_BP_DIRECT	GO:0045471~response to ethanol	14	1.7326732673267329	6.907036462262562E-4	ARSA, HPGD, PRKCB, SLC10A1, SETD7, ABAT, ADH7, IGF1R, ALAD, CTSK, CAT, HMGCS2, CDO1, PPARA	799	112	19416	3.037546933667084	0.9099989450648752	0.030469648191120288	0.029612825946434555
GOTERM_BP_DIRECT	GO:0032496~response to lipopolysaccharide	16	1.9801980198019802	9.406086682687603E-4	HPGD, CNP, GPX4, SLC11A1, DIO2, MGST2, FMO1, IRAK3, PTPN22, LIAS, ALAD, PRDX2, CPS1, BTK, ACP5, JAK2	799	145	19416	2.6814207414440467	0.9623553278201984	0.040975265111457874	0.03982301949282864
GOTERM_BP_DIRECT	GO:0098869~cellular oxidant detoxification	11	1.3613861386138615	9.603616509100201E-4	GSTZ1, GSTK1, PRDX5, GSTM2, GPX4, MGST2, GPX7, PXDNL, APOE, PTGES, PTGS1	799	75	19416	3.564055068836045	0.9648618723863347	0.04131926362248666	0.04015734458805232
GOTERM_BP_DIRECT	GO:0060586~multicellular organismal-level iron ion homeostasis	7	0.8663366336633664	9.98372570832324E-4	HEPH, TFRC, HYAL2, SLC11A1, EIF2AK1, SLC40A1, CYBRD1	799	29	19416	5.865607871908851	0.9692254244561552	0.04243083426037377	0.041237657285476605
