ID_REF,SYMBOL,cluster,UT_1,UT_3,T1h_CYHX_1h,T2h_CYHX_2h,T4h_CYHX_4h
8021653,SERPINB8,SRG,-0.0628194770000006,0.0628194769999997,-0.0471231930000009,0.150563443999999,0.355800590999999
8024228,MIDN,ILG,-0.25583087,0.25583087,0.40677874,0.56185436,0.571449510000001
8024485,GADD45B,DEG,-0.0257437065000001,0.0257437065000001,0.5196622575,1.0966418595,2.0068977295
8026047,JUNB,IEG,-0.4143408225,0.414340822500002,1.2276045615,2.1235731515,1.9723188515
8026163,IER2,IEG,-0.130065678999999,0.130065678999999,1.375343685,2.154459525,1.981803945
8028652,ZFP36,DEG,-0.1612313095,0.1612313095,0.5848694165,0.992655621500001,1.5691748675
8029693,FOSB,IEG,-0.0510858770000002,0.0510858770000002,1.904632531,3.358758971,3.397866051
8030128,PPP1R15A,DEG,0.226084689999999,-0.22608469,0.434681464999999,0.890013235,1.387703375
8034837,DNAJB1,IEG,-0.373050235000001,0.373050234999999,0.619482724999999,0.518065005,0.115791334999999
8036902,SERTAD1,SRG,0.109704461000002,-0.109704461,0.109984765,0.328605797,0.487809958000001
8037005,TGFB1,SRG,-0.186164167999999,0.186164167999999,0.237839863,0.230049150999999,0.189252561
8037579,ERCC1,SRG,-0.00238511199999891,0.00238511200000069,0.484490228000002,0.262742457000002,0.356014127000002
8041048,FOSL2,ILG,0.0532910654999998,-0.0532910654999998,0.185632932499999,0.381489891499999,0.673206219499999
8042503,MXD1,DEG,0.0320117784999994,-0.0320117785000011,0.170174478499998,0.773438498499999,1.1019952485
8042576,NAGK,IEG,0.0271685349999995,-0.0271685350000013,0.554757414999999,0.639790594999999,0.705591304999999
8042942,HK2,SRG,0.00872968999999912,-0.0087296900000009,-0.175192030000002,-0.0896227300000021,0.176737929999998
8043909,NPAS2,SRG,0.0703334985000001,-0.0703334985000001,0.1254932695,0.0598345874999993,-0.214909820500001
8045514,SPOPL,SRG,0.133921050500001,-0.1339210505,0.112650530500002,0.3680415845,0.375693328500001
8047069,INPP1,SRG,0.1495007935,-0.149500793500001,0.0171189004999999,-0.0319886815000006,0.1075887725
8047217,COQ10B,DEG,0.055209424000001,-0.0552094239999992,0.199661727000002,0.459887278000002,0.869419158000001
8047339,BZW1,SRG,-0.00500249499999939,0.00500249499999939,-0.0955246849999991,-0.0293872549999996,-0.013577475
8052143,GPR75,SRG,-0.122194890000001,0.122194889999999,-0.177676094000001,0.0131837569999984,0.394300505999999
8052834,C2orf42,DEG,0.1006628165,-0.1006628165,-0.0592035804999984,0.3623156385,0.710659675500001
8053022,EGR4,ILG,-0.0264052479999997,0.0264052479999997,0.28733823,1.882371674,2.449503974
8055688,RND3,DEG,0.0670616084999995,-0.0670616084999995,0.4186548595,0.766597279500001,0.6307742695
8059376,SERPINE2,SRG,-0.0759766774999999,0.0759766774999999,0.0225236634999995,0.245789071500001,0.1457275915
8059739,NPPC,ILG,-0.00713932000000028,0.00713932000000028,0.11867661,0.11765162,0.47682412
8060344,TRIB3,SRG,0.131647625999999,-0.131647625999999,-0.312080422999999,-0.564177742,-0.597783878
8060758,PRNP,SRG,0.0722885550000001,-0.0722885550000001,0.017144815,0.0922261649999996,0.136271194999999
8062206,ROMO1,SRG,-0.185340200000001,0.185340200000001,-0.12449676,-0.21101161,-0.379398719999999
8064375,SRXN1,SRG,-0.0902174650000003,0.0902174650000003,-0.0597151349999994,0.0165029350000001,-0.219461955
8064766,RNF24,SRG,0.0235386255000005,-0.0235386255000005,-0.0968947675000003,-0.0134516335000008,0.188480113499999
8066513,SDC4,DEG,-0.365800050000001,0.365800050000001,0.0696858999999996,0.196432420000001,0.31243583
8072626,TIMP3,IEG,-0.127504525000001,0.127504524999999,0.296974635,0.815250554999999,1.134587285
8077441,BHLHE40,DEG,0.1722731415,-0.1722731415,0.2302510515,0.3377763015,0.2079893515
8079153,ABHD5,DEG,-0.101481704999999,0.101481705000001,0.0240540450000015,0.258229325,0.410797155000001
8080487,PRKCD,SRG,0.0184805659999991,-0.0184805660000009,0.178762187999999,0.00704412599999849,-0.0707505210000008
8082905,SLC35G2,SRG,0.0745294244999997,-0.0745294244999997,-0.5551640725,-0.3497087155,-0.2164260855
8086330,CSRNP1,ILG,0.000338751999999332,-0.00033875200000022,0.403597173,0.678771202,1.15808325
8088958,GBE1,SRG,0.102069285000001,-0.102069285,0.263973496,0.32749568,0.465530889
8089062,CLDND1,SRG,0.0857429649999997,-0.0857429650000014,-0.201159825000001,-0.237361075000001,-0.182560425000002
8092578,ETV5,IEG,0.0203620395000002,-0.0203620395000002,0.5599287195,0.8227298885,1.1387160485
8094169,CPEB2,SRG,0.1283542155,-0.1283542155,0.1231864915,0.3269545125,0.2373863935
8094938,NIPAL1,DEG,0.1267447415,-0.1267447415,0.0985197845000005,0.1939204915,0.579814328499999
8095539,UTP3,DEG,0.0836902464999998,-0.0836902464999998,0.4344281615,0.649389402500001,0.7067488725
8096733,SGMS2,SRG,0.131357451000001,-0.131357451,0.078219411000001,-0.014780043,0.0814688910000001
8103011,OTUD4,SRG,0.1121074475,-0.1121074475,-0.0368237525000001,0.0616475174999991,-0.214514000500001
8105506,ZSWIM6,DEG,0.143789140000001,-0.143789139999999,0.0665700200000021,0.421699880000002,0.893067450000002
8105862,CDK7,SRG,0.0569327249999994,-0.0569327250000011,-0.00908064300000078,0.113864454,0.460511876
8106403,F2RL1,ILG,-0.121189145000001,0.121189145000001,0.322856675000001,0.196764095000001,0.199998595
8108050,TCF7,SRG,-0.0531263390000003,0.0531263390000003,0.178566016,0.0595073839999998,0.136581818
8108370,EGR1,IEG,-0.0613928439999984,0.0613928440000002,3.89988065,4.24909571,4.16180272
8111941,HMGCS1,SRG,0.0453791800000012,-0.0453791799999994,0.099156090000001,0.318884820000001,0.373485100000002
8112615,ENC1,SRG,0.0849884804999999,-0.0849884804999999,0.690695391499999,0.660198007500001,0.667269761500001
8112841,HOMER1,DEG,0.107018047,-0.107018046999999,-0.126341150999998,0.411503898000001,0.755009368000001
8114572,HBEGF,DEG,0.0379435689999994,-0.0379435690000012,0.323346916999999,0.627390496999999,1.079744678
8114797,SPRY4,ILG,0.1358780555,-0.1358780555,0.9307355105,1.4436328345,1.4940844755
8115831,DUSP1,IEG,-0.188817129999999,0.18881713,1.5011325,1.98366077,1.8968285
